Release_Date,Title,Overview,Genre
21/07/2021,Old,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,"Thriller, Mystery, Horror"
21/07/2021,Trollhunters: Rise of the Titans,"The Guardians of Arcadia reunite to battle the nefarious Arcane Order, who've reawakened the primordial Titans.","Animation, Fantasy, Family, Action, Adventure"
21/07/2021,Kaamelott: The First Chapter,"Following the end of the acclaimed tv series, King Arthur will oppose Lancelot's army to get the throne back after his flee to Rome.","Adventure, Fantasy"
21/07/2021,Luxor,"When British aid worker Hana returns to Luxor, a sleepy city on the banks of the Nile, she comes across Sultan, a talented archeologist and former lover. As she wanders, haunted by the familiar place, she struggles to reconcile the choices of the past with the uncertainty of the present.","Romance, Drama"
21/07/2021,Worth,"Kenneth Feinberg, a powerful D.C. lawyer appointed Special Master of the 9/11 Fund, fights off the cynicism, bureaucracy, and politics associated with administering government funds and, in doing so, discovers what life is worth.","History, Drama"
16/07/2021,Belle,"Suzu is a 17-year-old high-school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world ""U"" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious, dragon-like figure appears before her.","Animation, Drama, Science Fiction, Music"
16/07/2021,Deep,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control and must find a way out before it’s too late.,"Science Fiction, Thriller"
16/07/2021,Out of Death,"As Shannon - a woman who wants to put her father's ashes away in the woods - witnesses a corrupt cop dealing drugs with a junkie, she has to try and run away after she gets rampaged by two discreditable cops after they see her taking secret photographs of their crime maneuver. They then do a cat-and-mouse game around the woods as Shannon teams up with a retired sheriff along the way for more reinforcement. It's just a diversion of survival and egalitarianism.","Crime, Action, Thriller"
16/07/2021,Pig,A truffle hunter who lives alone in the Oregon wilderness must visit Portland to find the mysterious person who stole his beloved foraging pig.,"Drama, Thriller"
15/07/2021,Jolt,A bouncer with an anger management problem goes on a furious and resentful rampage after the murder of a friend.,"Action, Comedy"
15/07/2021,El mesero,A waiter pretends to be an important businessman in order to reach the upper class through his entrepreneurial dreams.,Comedy
15/07/2021,The Night House,"Reeling from the unexpected death of her husband, Beth is left alone in the lakeside home he built for her. Soon she begins to uncover her recently deceased husband's disturbing secrets.","Horror, Thriller, Mystery"
15/07/2021,A Perfect Fit,"Sparks fly when a fashion blogger in Bali meets a gifted shoemaker, leading her to question her commitment to her fiancé.","Romance, Comedy, Drama"
15/07/2021,Meskina,"A thirty-something aspiring children's author, labeled ""meskina"" (pity case) by her Moroccan-Dutch community for still being career-less and single, sets out to once and for all find professional success and true love.","Comedy, Romance"
15/07/2021,Monster,"The story of Steve Harmon, a 17-year-old honor student whose world comes crashing down around him when he is charged with felony murder.","Drama, Crime"
14/07/2021,Gunpowder Milkshake,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.","Action, Crime, Thriller"
14/07/2021,Fear Street: 1666,"In 1666, a colonial town is gripped by a hysterical witch-hunt that has deadly consequences for centuries to come, and it's up to teenagers in 1994 to finally put an end to their town's curse, before it's too late.","Mystery, Horror"
14/07/2021,Titane,"A woman with a metal plate in her head from a childhood car accident embarks on a bizarre journey, bringing her into contact with a firefighter who's reunited with his missing son after 10 years.","Drama, Thriller, Horror"
14/07/2021,A Classic Horror Story,"Five people travelling by camper crash into a tree. When they recover, the road they were driving on has been replaced by an impenetrable forest and a wooden house.","Drama, Horror, Mystery, Comedy"
14/07/2021,The Medium,A horrifying story of a shaman’s inheritance in the Isan region of Thailand. But the goddess that appears to have taken possession of a family member turns out not be as benevolent as it first appears.,"Horror, Thriller"
14/07/2021,The Guide to the Perfect Family,"A couple in Québec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image.","Comedy, Drama"
14/07/2021,Do You Do You Saint-Tropez,"Every summer, the Billionaire Tranchant and his wife Eliane host the glamorous world of celebrities in their luxurious mansion in the south of France. When a criminal car sabotage related to threatening letters wreak havoc in the villa, Tranchant goes in search of the best agent for the investigation. In the middle of this hot summer, only the arrogant and incompetent agent Boullin is available... To catch the suspect and solve the mystery, he will have no choice but to impersonate a newly hired butler and will turn everyone’s vacation into a hilarious game of ‘Cluedo’!",Comedy
13/07/2021,Deadpool and Korg React,Two members of the MCYouTube react to the upcoming film Free Guy.,Comedy
11/07/2021,Jackass Shark Week,"Johnny Knoxville sends Steve-O, Chris Pontius, and new Jackass cast members on a Shark Week mission for the ages. They'll dial up a series of shark stunts that test their bravery and threshold of pain as they put common shark myths to the test.","Comedy, Action, Documentary"
10/07/2021,Framed by My Husband,"A woman agrees to help her husband pay off an extortionist, but when the blackmailer is murdered she becomes the prime suspect, and discovers that the man she married has been leading a deadly double life.","TV Movie, Thriller"
10/07/2021,The Match,"Inspired by true events from the spring of 1944 when the Nazis organized a football match between a team of camp inmates and an elite Nazi team on Adolf Hitler's birthday. A match the prisoners are determined to win, no matter what happens.","Drama, History"
09/07/2021,Benedetta,A 17th-century nun becomes entangled in a forbidden lesbian affair with a novice. But it is Benedetta's shocking religious visions that threaten to shake the Church to its core.,"Drama, History, Romance"
09/07/2021,Last Summer,"For Deniz, a 16-year-old teenager, this summer is different from the others. Deniz, who goes to his family's summer house every year, falls in love with a young girl named Aslı. Trying to get closer to Aslı, Deniz realizes that a handsome young man, Burak, also likes Aslı.","Romance, Drama"
